body_system,health_concern,herb_name,latin_name,actions,indications,energetics,safety,dose_min_ml,dose_max_ml,dose_unit,ratio
Haematology,Anaemia,Dong Quai,Angelica sinensis,Blood tonic; Circulatory stimulant; Mild iron-supportive,"Indicated for anaemia with fatigue, pallor and blood deficiency patterns; supports healthy menstruation and blood building",Warming; Moistening; Moving,Contraindicated in pregnancy and active bleeding; caution with anticoagulants,25,45,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Dong Quai,Angelica sinensis,Blood tonic; Uterine modulator,"Used for menstrual and fertility issues, not during established pregnancy",Warming; Moving,Traditionally avoided in pregnancy (especially first and second trimester) because of uterine effects; postpartum use may be considered short term; little data in lactation so use cautiously if at all,,,-,
Women's Health,Amenorrhoea,Dong Quai,Angelica sinensis,Blood tonic; Uterine modulator; Circulatory stimulant,"Used for Amenorrhoea with blood deficiency, stagnation or stress-related cycle suppression",Warming; Moving,Not for pregnancy; suitable in cycle restoration protocols for Amenorrhoea; may increase bleeding in heavy periods,20,40,mL,1:2
Women's Health,Endometriosis,Dong Quai,Angelica sinensis,Blood tonic; Circulatory stimulant; Uterine modulator,"Useful for pelvic stagnation, clotting and pain with deficiency underlying endometriosis",Warming; Moving,Not for pregnancy; suitable for cycle regulation in non-pregnant adults; may increase bleeding in heavy periods,20,40,mL,1:2
Women's Health,Fertility,Dong Quai,Angelica sinensis,Blood tonic; Uterine modulator; Circulatory stimulant,"Classic herb for building blood, improving uterine lining and supporting ovulatory cycles",Warming; Moving,Do not use once pregnant; beneficial in follicular phase; avoid in heavy bleeding or clotting disorders,20,40,mL,1:2
Women's Health,Menopause,Dong Quai,Angelica sinensis,Blood tonic; Uplifts mood; Circulatory modulator,"Supports pelvic circulation, dryness, fatigue and emotional imbalance in menopause",Warming; Moving,Not for use in pregnancy; safe in menopausal adults unless heavy bleeding or anticoagulant use present,20,40,mL,1:2
Women's Health,Menstrual Irregularity,Dong Quai,Angelica sinensis,Blood tonic; Uterine modulator; Circulatory stimulant,"Useful for irregular cycles with scanty flow, delayed menses, pelvic congestion or post-pill dysregulation",Warming; Moving,Not for use in pregnancy; safe in non-pregnant adults unless heavy bleeding or clotting disorders present,20,40,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Celery Seed,Apium graveolens semen,Diuretic; Anti-inflammatory; Uterine stimulant,Used for gout and fluid retention in non-pregnant people,Warming; Drying,Traditionally contraindicated in pregnancy because of uterine-stimulating properties; avoid in breastfeeding due to limited data,,,-,
Skin Condition,Acne,Burdock,Arctium lappa,Alterative; Mild liver tonic; Lymphatic,"Supports deep skin detoxification, chronic acne, congestion and sluggish elimination pathways",Cooling; Moistening; Cleansing,Generally safe; mild digestive stimulation may occur,30,60,mL,1:2
Skin Condition,Eczema,Burdock,Arctium lappa,Alterative; Mild hepatic support; Lymphatic,Supports detoxification pathways and chronic inflammatory skin conditions including eczema,Cooling; Moistening; Cleansing,Generally safe; gentle long-term use suitable,30,60,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Burdock,Arctium lappa,Alterative; Mild hepatic support; Nutritive,Used occasionally in chronic skin/metabolic issues in pregnant people,Cooling; Moistening; Cleansing,Generally considered low-risk at food-like doses; still best used moderately and with professional oversight in pregnancy and breastfeeding,,,-,
Men's Health,Prostatitis,Bearberry,Arctostaphylos uva-ursi,Urinary antiseptic; Astringent; Anti-inflammatory,"Used for prostatitis with concurrent lower UTI, dysuria and burning; helps clear pathogens from urinary tract",Cooling; Drying; Toning,"Short-term use only; avoid in pregnancy, lactation and severe kidney disease; not for prolonged continuous use",15,30,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Bearberry,Arctostaphylos uva-ursi,Urinary antiseptic; Astringent,"Used short term for UTIs, not as routine pregnancy herb",Cooling; Drying; Toning,Traditionally considered unsafe in pregnancy due to uterine and toxicity concerns; avoid in pregnancy and lactation,,,-,
Pregnancy & Lactation,Pregnancy & Lactation,Horseradish,Armoracia rusticana,Rubefacient; Mucolytic; Antimicrobial,Used for sinus congestion and digestive stimulation,Hot; Penetrating,Culinary use in small amounts is generally acceptable; concentrated medicinal dosing is usually avoided during pregnancy and lactation due to GI irritation and volatility,,,-,
Skin Condition,Bruising,Arnica,Arnica montana,Topical anti-inflammatory; Analgesic; Circulatory stimulant,"Used externally to reduce bruising, swelling and soft-tissue trauma; supports local circulation and healing",Warming; Moving; Penetrating,For external use only on unbroken skin; internal use is toxic,,,-,
Pregnancy & Lactation,Pregnancy & Lactation,Wormwood,Artemisia absinthium,Bitter; Antiparasitic; Nervine,Used for digestive and parasitic conditions,Bitter; Heating; Drying,Contraindicated in pregnancy and breastfeeding due to thujone content and potential neurotoxicity and uterine stimulation,,,-,
Digestion & Liver,Diarrhoea,Shatavari,Asparagus racemosus,Demulcent; Restorative; Cooling tonic,"Supports diarrhoea with burning, heat or depletion, nourishing and soothing irritated mucosa while gently restoring fluids",Cooling; Moistening; Yin-nourishing,"Generally safe; use cautiously in very damp, congested presentations",30,60,mL,1:2
Men's Health,Erectile Dysfunction,Shatavari,Asparagus racemosus,Demulcent tonic; Endocrine support; Reproductive tissue trophorestorative,"Used in some traditions to support reproductive fluids, hormone balance and pelvic tissues, particularly in depleted constitutions",Cooling; Moistening; Yin-nourishing,Generally safe; may aggravate very damp or congested states,30,60,mL,1:2
Men's Health,Fertility,Shatavari,Asparagus racemosus,Demulcent reproductive tonic; Endocrine support,"Used in some traditions for male fertility where depletion, heat or dryness impact reproductive fluids",Cooling; Moistening; Yin-nourishing,Generally safe; may be too dampening in very congested or overweight presentations,30,60,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Shatavari,Asparagus racemosus,Female reproductive tonic; Galactagogue; Demulcent,Used widely in Ayurveda in pregnancy and postpartum,Cooling; Moistening; Yin-nourishing,Often considered one of the safer pregnancy and lactation herbs within Ayurvedic practice; still best used with practitioner supervision and appropriate dosing,,,-,
Women's Health,Fertility,Shatavari,Asparagus racemosus,Reproductive tonic; Hormonal balancer; Yin-nourishing,"Classic Ayurvedic herb for female fertility, cervical mucus quality and endometrial nourishment",Cooling; Moistening; Yin-nourishing,Generally safe in fertility work; avoid if extremely damp or congestive; discontinue once pregnant unless used in Ayurvedic care,30,60,mL,1:2
Women's Health,Menopause,Shatavari,Asparagus racemosus,Reproductive tonic; Moistening; Yin-supportive,"Used for vaginal dryness, hot flushes and emotional depletion in menopause",Cooling; Moistening; Nourishing,Generally safe in non-pregnant adults; caution in individuals with damp congestion tendencies,30,60,mL,1:2
Haematology,Leukopaenia,Astragalus,Astragalus membranaceus,Immune tonic; Bone marrow supportive; Qi tonic,"Used to support white blood cell production, immunity and recovery after chronic illness",Cooling to neutral; Strengthening; Slightly moistening,Generally safe; avoid during acute febrile infections,30,60,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Astragalus,Astragalus membranaceus,Immune tonic; Qi tonic; Adaptogen,Occasionally used to support immunity and vitality in depleted mothers,Neutral to slightly warming; Strengthening,"Generally regarded as low-risk but human pregnancy data are sparse; if used, keep doses moderate and under professional supervision, especially in first trimester",,,-,
Pregnancy & Lactation,Pregnancy & Lactation,Oats Green,Avena sativa herba,Nervine tonic; Trophic to nervous system,"Used for stress, exhaustion and sleep support",Neutral; Moistening; Nourishing,Generally considered quite safe and supportive in pregnancy and breastfeeding at standard doses,,,-,
Pregnancy & Lactation,Pregnancy & Lactation,Oats Seed,Avena sativa semen,Nutritive; Nervine; Tonic,Used similarly to green oats to nourish the nervous system,Neutral; Moistening; Nourishing,Typically compatible with pregnancy and lactation at modest doses,,,-,
Skin Condition,Boils,Baptisia,Baptisia tinctoria,Immune-stimulant; Antimicrobial; Lymphatic,"Traditionally used for deep-seated infections, suppurative boils and systemic toxicity patterns",Cooling; Drying; Strongly clearing,Use short term only under practitioner supervision; avoid in pregnancy and severe GI irritation,10,20,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Baptisia,Baptisia tinctoria,Immune-stimulant; Antimicrobial; Lymphatic,"Used for serious infections, not in pregnancy care",Cooling; Drying; Strongly clearing,Regarded as potentially toxic and is contraindicated in pregnancy and breastfeeding,,,-,
Skin Condition,Acne,Oregon Grape,Berberis aquifolium,Bitter; Liver-supportive; Antimicrobial,"Ideal for acne with sluggish liver function, digestive involvement or systemic inflammation",Cooling; Drying; Strongly bitter,Avoid in pregnancy; use cautiously with anticoagulants; short to medium-term use preferred,20,40,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Oregon Grape,Berberis aquifolium,Bitter; Antimicrobial; Liver support,Used for skin and gut conditions,Cooling; Drying,Berberine content leads to pregnancy and neonatal safety concerns; avoid in pregnancy and lactation,,,-,
Digestion & Liver,Dyspepsia,Barberry,Berberis vulgaris,Bitter; Cholagogue; Antimicrobial,"Indicated for dyspepsia associated with sluggish bile flow, right-sided discomfort or low-grade biliary congestion",Cooling; Drying; Strongly bitter,Use with care in pregnancy and in significant liver disease; short- to medium-term use under practitioner guidance,20,40,mL,1:2
Haematology,Thrombocytopaenia,Barberry,Berberis vulgaris,Bitter; Cholagogue; Antimicrobial; Immune support,Used in some traditions to support spleen and liver function where these may influence platelet production and inflammation,Cooling; Drying; Strongly bitter,"Use with caution in pregnancy, significant liver disease and with anticoagulants",20,40,mL,1:2
Skin Condition,Fungal Infections,Barberry,Berberis vulgaris,Bitter; Strong antimicrobial; Antifungal,Effective for fungal overgrowth including candidiasis; supports liver and digestive pathways,Cooling; Drying; Strongly bitter,Avoid in pregnancy; caution with anticoagulants; short–medium term use preferred,20,40,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Barberry,Berberis vulgaris,Bitter; Antimicrobial; Cholagogue,"Used for liver and gut infections, not as a pregnancy tonic",Cooling; Drying; Bitter,Berberine-containing herbs are generally avoided in pregnancy and early infancy; avoid in pregnancy and lactation unless specialist-directed and short term,,,-,
Pregnancy & Lactation,Pregnancy & Lactation,Bupleurum,Bupleurum falcatum,Hepatic modulator; Immune support,"Used in some traditional formulas, not as simple in pregnancy",Cooling; Drying; Moving,Pregnancy and lactation safety data are limited and there are case reports of liver concerns; avoid unless under experienced TCM supervision,,,-,
Skin Condition,Acne,Calendula,Calendula officinalis,Anti-inflammatory; Lymphatic; Vulnerary,"Useful for acne with redness, irritation and poor skin healing; aids lymphatic drainage and tissue repair",Warming; Drying; Moves stagnation,Very safe; caution only with Asteraceae allergy,20,40,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Calendula,Calendula officinalis,Anti-inflammatory; Vulnerary; Lymphatic,Used widely as a topical in pregnancy; occasionally internally,Warming; Drying; Gently moving,"Topical use is generally regarded as safe in pregnancy and breastfeeding; internal use at moderate doses is likely low-risk but human data are limited—use with professional guidance, especially in first trimester",,,-,
Women's Health,Fibroids,Calendula,Calendula officinalis,Anti-inflammatory; Lymphatic; Mild alterative,"Supports pelvic and systemic lymphatic drainage, tissue healing and inflammation modulation in fibroid states",Warming; Drying; Gently moving,Very safe for non-pregnant adults; avoid only in known Asteraceae allergy; internal use in pregnancy should be practitioner-guided,20,40,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Shepherd's Purse,Capsella bursa-pastoris,Haemostatic; Astringent; Uterine tonic,Used postpartum for bleeding control,Neutral; Drying; Toning,Contraindicated for routine use in pregnancy due to haemostatic/uterotonic actions; may be used short term postpartum for heavy bleeding under obstetric guidance; compatible with breastfeeding when used briefly,,,-,
Women's Health,Menorrhagia,Shepherd's Purse,Capsella bursa-pastoris,Haemostatic; Astringent; Uterine tonic,"Primary herb for acute heavy bleeding with clotting, flooding or postpartum haemorrhage tendencies",Neutral; Drying; Toning,Contraindicated in pregnancy; safe postpartum under practitioner care; compatible with short-term breastfeeding use when monitored,10,30,mL,1:2
Cardiovascular,Circulation / Raynaud's Syndrome,Cayenne,Capsicum annuum,Circulatory stimulant; Peripheral vasodilator; Warming carminative,"Promotes peripheral blood flow and warmth in cold, constricted extremities seen in Raynaud-type patterns",Hot; Drying; Strongly stimulating,"Use low doses; avoid in gastric inflammation, ulceration or in very heat-sensitive individuals",5,20,mL,1:2
Skin Condition,Chilblains,Cayenne,Capsicum annuum,Circulatory stimulant; Peripheral vasodilator; Warming rubefacient,"Indicated for cold, poorly perfused extremities and recurrent chilblains; improves blood flow and tissue warmth",Hot; Drying; Strongly stimulating,Use low internal doses; avoid in active gastric inflammation; topical use may irritate sensitive skin,5,20,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Cayenne,Capsicum annuum,Circulatory stimulant; Rubefacient,Primarily a spice; occasionally used medicinally for circulation,Hot; Drying; Stimulating,Culinary use is generally fine; concentrated medicinal doses are usually avoided in pregnancy and lactation due to GI and circulatory stimulation,,,-,
Women's Health,Dysmenorrhoea,Blue Cohosh,Caulophyllum thalictroides,Uterine stimulant/modulator; Antispasmodic,Used historically for severe dysmenorrhoea with pelvic tension or delayed menses,Warming; Moving,Contraindicated in pregnancy; use only under supervision due to potency and potential toxicity,2,8,mL,1:2
Women's Health,Mastalgia,Blue Cohosh,Caulophyllum thalictroides,Uterine and smooth muscle modulator; Antispasmodic,"Used for breast pain linked to hormonal stagnation, pelvic tension or premenstrual congestion",Warming; Moving,Not used in pregnancy; potent herb requiring supervision; may cause nausea or headache; avoid in lactation,2,8,mL,1:2
Cardiovascular,Capillary fragility,Gotu Kola,Centella asiatica,Connective tissue trophorestorative; Microvascular tonic,Supports collagen and connective tissue around vessels; useful in venous insufficiency and capillary weakness,Cooling; Moistening; Grounding,Generally safe; high doses may cause mild headache or skin irritation in sensitive individuals,20,40,mL,1:2
Cardiovascular,Thrombophlebitis,Gotu Kola,Centella asiatica,Connective tissue trophorestorative; Microvascular tonic,Helps support vessel wall integrity and tissue repair around inflamed veins,Cooling; Moistening; Grounding,Generally safe; high doses may very rarely cause headache or skin irritation,20,40,mL,1:2
Cardiovascular,Varicose Veins,Gotu Kola,Centella asiatica,Connective tissue trophorestorative; Microvascular tonic,Supports strengthening of vessel walls and perivascular connective tissue in varicose presentations,Cooling; Moistening; Grounding,Generally safe; long-term use is usually well tolerated,20,40,mL,1:2
Skin Condition,Bruising,Gotu Kola,Centella asiatica,Connective tissue trophorestorative; Microvascular support,Promotes skin repair and microcirculation where bruising heals slowly,Cooling; Moistening; Grounding,Generally safe; occasional mild headache possible,20,40,mL,1:2
